file,chapter,title,summary_chars,character_refs,technique_refs,term_refs,status
data/chapters/ch-019.json,第19話,幼魚と逆罰,196,8,1,4,phase2-crosschecked-secondary-not-primary-pages
data/chapters/ch-020.json,第20話,幼魚と逆罰―弐―,187,5,4,3,phase2-crosschecked-secondary-not-primary-pages
data/chapters/ch-021.json,第21話,幼魚と逆罰―参―,183,6,2,2,phase2-crosschecked-secondary-not-primary-pages
data/chapters/ch-022.json,第22話,幼魚と逆罰―肆―,169,5,3,2,phase2-crosschecked-secondary-not-primary-pages
data/chapters/ch-023.json,第23話,幼魚と逆罰―伍―,187,5,3,3,phase2-crosschecked-secondary-not-primary-pages
data/chapters/ch-024.json,第24話,幼魚と逆罰―陸―,177,7,1,3,phase2-crosschecked-secondary-not-primary-pages
data/chapters/ch-025.json,第25話,固陋蠢愚,179,7,1,5,phase2-crosschecked-secondary-not-primary-pages
data/chapters/ch-026.json,第26話,いつかの君へ,194,6,2,2,phase2-crosschecked-secondary-not-primary-pages
data/chapters/ch-027.json,第27話,もしも,152,6,1,2,phase2-crosschecked-secondary-not-primary-pages
data/chapters/ch-028.json,第28話,殺してやる,173,4,1,2,phase2-crosschecked-secondary-not-primary-pages
data/chapters/ch-029.json,第29話,成長,185,3,4,2,phase2-crosschecked-secondary-not-primary-pages
data/chapters/ch-030.json,第30話,我儘,230,5,2,4,phase2-crosschecked-secondary-not-primary-pages
data/chapters/ch-031.json,第31話,また明日,227,7,3,3,phase2-crosschecked-secondary-not-primary-pages
