chapter,title,volume,summary_length,characters,techniques,terms,verification
65,懐玉,8,195,8,3,6,phase4-crosschecked-secondary-not-primary-pages
66,懐玉―弐―,8,196,10,3,6,phase4-crosschecked-secondary-not-primary-pages
67,懐玉―参―,8,181,11,2,5,phase4-crosschecked-secondary-not-primary-pages
68,懐玉―肆―,8,164,8,3,5,phase4-crosschecked-secondary-not-primary-pages
69,懐玉―伍―,8,180,6,5,4,phase4-crosschecked-secondary-not-primary-pages
70,懐玉―陸―,8,194,8,2,4,phase4-crosschecked-secondary-not-primary-pages
71,懐玉―漆―,9,193,7,6,6,phase4-crosschecked-secondary-not-primary-pages
72,懐玉―捌―,9,174,5,2,5,phase4-crosschecked-secondary-not-primary-pages
73,懐玉―玖―,9,189,7,4,5,phase4-crosschecked-secondary-not-primary-pages
74,懐玉―拾―,9,196,7,3,3,phase4-crosschecked-secondary-not-primary-pages
75,懐玉―拾壱―,9,201,5,5,4,phase4-crosschecked-secondary-not-primary-pages
76,玉折,9,212,7,7,5,phase4-crosschecked-secondary-not-primary-pages
77,玉折―弐―,9,220,7,1,6,phase4-crosschecked-secondary-not-primary-pages
78,玉折―参―,9,213,8,1,4,phase4-crosschecked-secondary-not-primary-pages
79,これからの話,9,226,11,2,4,phase4-crosschecked-secondary-not-primary-pages
