chapter,title,volume,start_page,summary_chars,characters,techniques,terms,status
121,渋谷事変㊴,14,109,159,4,4,4,phase7-crosschecked-secondary-not-primary-pages
122,渋谷事変㊵,14,129,159,6,3,3,phase7-crosschecked-secondary-not-primary-pages
123,渋谷事変㊶,14,149,165,7,4,3,phase7-crosschecked-secondary-not-primary-pages
124,渋谷事変㊷,14,173,166,5,2,3,phase7-crosschecked-secondary-not-primary-pages
125,あの子の話,15,7,184,9,1,3,phase7-crosschecked-secondary-not-primary-pages
126,渋谷事変㊸,15,27,176,8,4,4,phase7-crosschecked-secondary-not-primary-pages
127,渋谷事変㊹,15,47,168,7,4,4,phase7-crosschecked-secondary-not-primary-pages
128,渋谷事変㊺,15,71,177,10,5,4,phase7-crosschecked-secondary-not-primary-pages
129,渋谷事変㊻,15,91,174,4,5,4,phase7-crosschecked-secondary-not-primary-pages
130,渋谷事変㊼,15,111,221,7,6,5,phase7-crosschecked-secondary-not-primary-pages
131,渋谷事変㊽,15,130,167,3,3,4,phase7-crosschecked-secondary-not-primary-pages
132,渋谷事変㊾,15,153,199,6,4,4,phase7-crosschecked-secondary-not-primary-pages
133,渋谷事変㊿,15,173,179,12,5,4,phase7-crosschecked-secondary-not-primary-pages
134,渋谷事変(51),16,7,199,15,4,6,phase7-crosschecked-secondary-not-primary-pages
135,渋谷事変(52),16,27,178,12,13,4,phase7-crosschecked-secondary-not-primary-pages
136,渋谷事変(53),16,47,216,19,5,10,phase7-crosschecked-secondary-not-primary-pages
